day,queue,offered,abandoned,answered,answered_within,abandon_rate,service_level,roll_mean,roll_std,upper_band,is_anomaly
2026-01-25,Crisis,35,4,31,21,0.11428571428571428,0.6,,,,False
2026-01-26,Crisis,71,4,67,42,0.056338028169014086,0.5915492957746479,,,,False
2026-01-27,Crisis,85,4,81,52,0.047058823529411764,0.611764705882353,,,,False
2026-01-28,Crisis,75,1,74,43,0.013333333333333334,0.5733333333333334,,,,False
2026-01-29,Crisis,68,2,66,41,0.029411764705882353,0.6029411764705882,,,,False
2026-01-30,Crisis,72,5,67,44,0.06944444444444445,0.6111111111111112,0.05208553280467117,0.038496905144766,0.12907934309420316,False
2026-01-31,Crisis,37,1,36,21,0.02702702702702703,0.5675675675675675,0.054978684744633376,0.035154392804688454,0.12528747035401028,False
2026-02-01,Crisis,45,4,41,27,0.08888888888888889,0.6,0.05098559078497533,0.03378569283217202,0.11855697644931937,False
2026-02-02,Crisis,77,5,72,36,0.06493506493506493,0.4675324675324675,0.05572350304796452,0.0340292222050384,0.12378194745804133,False
2026-02-03,Crisis,81,5,76,48,0.06172839506172839,0.5925925925925926,0.056747009924309005,0.031979173931298066,0.12070535778690514,False
2026-02-04,Crisis,67,2,65,42,0.029850746268656716,0.6268656716417911,0.05724514843805095,0.03019137717355787,0.11762790278516669,False
2026-02-05,Crisis,85,2,83,53,0.023529411764705882,0.6235294117647059,0.05475474824083329,0.029809232707967297,0.11437321365676789,False
2026-02-06,Crisis,85,3,82,47,0.03529411764705882,0.5529411764705883,0.05215263686782268,0.02981712958146135,0.11178689603074538,False
2026-02-07,Crisis,37,3,34,19,0.08108108108108109,0.5135135135135135,0.05085582769699469,0.02892810163324328,0.10871203096348125,False
2026-02-08,Crisis,46,3,43,24,0.06521739130434782,0.5217391304347826,0.05301477436728657,0.028943355822150477,0.11090148601158753,False
2026-02-09,Crisis,65,5,60,38,0.07692307692307693,0.5846153846153846,0.049509894154331824,0.023391532308383218,0.09629295877109825,False
2026-02-10,Crisis,96,6,90,51,0.0625,0.53125,0.05098025477962203,0.024475609395691923,0.09993147357100587,False
2026-02-11,Crisis,86,9,77,37,0.10465116279069768,0.43023255813953487,0.052083195956092614,0.024632712952691448,0.1013486218614755,True
2026-02-12,Crisis,74,5,69,43,0.06756756756756757,0.581081081081081,0.05860589806019007,0.025651836644132352,0.10990957134845478,False
2026-02-13,Crisis,80,2,78,45,0.025,0.5625,0.06133131255031044,0.024302961392632494,0.10993723533557542,False
2026-02-14,Crisis,39,4,35,21,0.10256410256410256,0.5384615384615384,0.05815670937570727,0.026004864944176434,0.11016643926406014,False
2026-02-15,Crisis,33,2,31,20,0.06060606060606061,0.6060606060606061,0.06355221477121266,0.026871042117120957,0.11729429900545457,False
2026-02-16,Crisis,79,7,72,36,0.08860759493670886,0.45569620253164556,0.06153201275101065,0.02586396884911914,0.11325995044924893,False
2026-02-17,Crisis,89,6,83,58,0.06741573033707865,0.651685393258427,0.06322290775112807,0.02685826348140272,0.1169394347139335,False
2026-02-18,Crisis,68,0,68,50,0.0,0.7352941176470589,0.06362914598508165,0.026876924480782886,0.11738299494664742,False
2026-02-19,Crisis,68,1,67,38,0.014705882352941176,0.5588235294117647,0.061496949823034754,0.030678027953938446,0.12285300573091165,False
2026-02-20,Crisis,90,5,85,57,0.05555555555555555,0.6333333333333333,0.060866697722194406,0.03159496940201542,0.12405663652622526,False
2026-02-21,Crisis,40,1,39,20,0.025,0.5,0.06231394328708704,0.03078720425130368,0.1238883517896944,False
2026-02-22,Crisis,32,2,30,16,0.0625,0.5,0.05830815178129554,0.03178963434998219,0.12188742048125992,False
2026-02-23,Crisis,77,5,72,37,0.06493506493506493,0.4805194805194805,0.05811405240241354,0.03175247735230189,0.12161900710701731,False
2026-02-24,Crisis,69,2,67,38,0.028985507246376812,0.5507246376811594,0.057257765831841265,0.03136551176664764,0.11998878936513654,False
2026-02-25,Crisis,80,4,76,42,0.05,0.525,0.054863873492296746,0.03220242318638004,0.11926871986505683,False
2026-02-26,Crisis,72,3,69,45,0.041666666666666664,0.625,0.050960219007246906,0.02883973300966846,0.10863968502658383,False
2026-02-27,Crisis,63,2,61,38,0.031746031746031744,0.6031746031746031,0.049110154657182555,0.028521436413833208,0.10615302748484898,False
2026-02-28,Crisis,38,2,36,26,0.05263157894736842,0.6842105263157895,0.04959201406761339,0.028137168033661727,0.10586635013493684,False
2026-03-01,Crisis,43,2,41,24,0.046511627906976744,0.5581395348837209,0.04602540523784667,0.02372471924088246,0.0934748437196116,False
2026-03-02,Crisis,81,5,76,47,0.06172839506172839,0.5802469135802469,0.04501866004505497,0.023354560317181836,0.09172778067941864,False
2026-03-03,Crisis,86,2,84,44,0.023255813953488372,0.5116279069767442,0.043098717196842086,0.02041544440008489,0.08392960599701187,False
2026-03-04,Crisis,73,1,72,47,0.0136986301369863,0.6438356164383562,0.03994443745515706,0.019770618764115296,0.07948567498338766,False
2026-03-05,Crisis,83,4,79,43,0.04819277108433735,0.5180722891566265,0.040922911036370364,0.017891309305387484,0.07670552964714533,False
2026-03-06,Crisis,83,11,72,42,0.13253012048192772,0.5060240963855421,0.04331483166004152,0.016282852294417564,0.07588053624887664,True
2026-03-07,Crisis,40,1,39,27,0.025,0.675,0.0488130148690681,0.02886709439247088,0.10654720365400985,False
2026-03-08,Crisis,38,1,37,26,0.02631578947368421,0.6842105263157895,0.0488130148690681,0.02886709439247088,0.10654720365400985,False
2026-03-09,Crisis,81,5,76,45,0.06172839506172839,0.5555555555555556,0.04622842840290269,0.029165692662561436,0.10455981372802556,False
2026-03-10,Crisis,88,3,85,51,0.03409090909090909,0.5795454545454546,0.04599938055480723,0.0290197086948947,0.10403879794459663,False
2026-03-11,Crisis,87,6,81,53,0.06896551724137931,0.6091954022988506,0.046364052115130956,0.028820857055490937,0.10400576622611282,False
2026-03-12,Crisis,75,1,74,43,0.013333333333333334,0.5733333333333334,0.04771873191808662,0.029443893612770052,0.10660651914362673,False
2026-03-13,Crisis,81,3,78,49,0.037037037037037035,0.6049382716049383,0.045694922394277096,0.030832854849513532,0.10736063209330415,False
2026-03-14,Crisis,35,4,31,19,0.11428571428571428,0.5428571428571428,0.046072851343634626,0.030680778247948095,0.10743440783953082,True
2026-03-15,Crisis,28,1,27,17,0.03571428571428571,0.6071428571428571,0.05047671815351646,0.03570767334402143,0.12189206484155932,False
2026-03-16,Crisis,67,3,64,37,0.04477611940298507,0.5522388059701493,0.0497054794254671,0.035915898885466875,0.12153727719640085,False
2026-03-17,Crisis,90,5,85,47,0.05555555555555555,0.5222222222222223,0.04849460259269972,0.03576482401395665,0.12002425062061302,False
2026-03-18,Crisis,95,3,92,53,0.031578947368421054,0.5578947368421052,0.050801726992847386,0.03504605251614933,0.12089383202514606,False
2026-03-19,Crisis,76,4,72,39,0.05263157894736842,0.5131578947368421,0.05207889250937843,0.033896873802010216,0.11987264011339886,False
2026-03-20,Crisis,64,3,61,32,0.046875,0.5,0.05239595021388066,0.033878482915447046,0.12015291604477475,False
2026-03-21,Crisis,33,0,33,24,0.0,0.7272727272727273,0.04627772732231439,0.024815797369793544,0.09590932206190148,False
2026-03-22,Crisis,41,1,40,28,0.024390243902439025,0.6829268292682927,0.04449201303660011,0.02724525773450568,0.09898252850561147,False
2026-03-23,Crisis,71,3,68,42,0.04225352112676056,0.5915492957746479,0.044354474067225445,0.02734873654656716,0.09905194716035977,False
2026-03-24,Crisis,83,3,80,49,0.03614457831325301,0.5903614457831325,0.04296341164329918,0.026888465050748468,0.09674034174479612,False
2026-03-25,Crisis,85,5,80,47,0.058823529411764705,0.5529411764705883,0.04311010230203803,0.026841899105343764,0.09679390051272556,False
2026-03-26,Crisis,76,41,35,21,0.5394736842105263,0.27631578947368424,0.0423856745999227,0.026220074944837735,0.09482582448959817,True
2026-03-27,Crisis,92,5,87,53,0.05434782608695652,0.5760869565217391,0.07996712823400791,0.13456960791167247,0.34910634405735286,False
2026-03-28,Crisis,33,0,33,13,0.0,0.3939393939393939,0.08120361316614502,0.13422388966488172,0.3496513924959085,False
2026-03-29,Crisis,32,2,30,15,0.0625,0.46875,0.07304034786002257,0.13552613713522682,0.3440926221304762,False
2026-03-30,Crisis,81,4,77,50,0.04938271604938271,0.6172839506172839,0.07495361316614502,0.13514720061650506,0.34524801439915515,False
2026-03-31,Crisis,99,0,99,60,0.0,0.6060606060606061,0.07528265578374485,0.13507366358658465,0.3454299829569142,False
2026-04-01,Crisis,86,3,83,44,0.03488372093023256,0.5116279069767442,0.07131440181549088,0.13650626667941573,0.34432693517432233,False
2026-04-02,Crisis,78,4,74,43,0.05128205128205128,0.5512820512820513,0.071550457069906,0.1364351068672061,0.3444206708043182,False
2026-04-03,Crisis,70,4,66,33,0.05714285714285714,0.4714285714285714,0.07145406223666904,0.13644997766229455,0.34435401756125816,False
2026-04-04,Crisis,40,7,33,21,0.175,0.525,0.07218748060401599,0.13633524938076785,0.3448579793655517,False
2026-04-05,Crisis,49,3,46,28,0.061224489795918366,0.5714285714285714,0.08468748060401599,0.13722715157916493,0.35914178376234585,False
