date,actual,fitted,forecast,segment
2026-01-25,216.0,224.95487196330077,224.95487196330077,history
2026-01-26,478.0,488.7211439030798,488.7211439030798,history
2026-01-27,503.0,498.9381489531695,498.9381489531695,history
2026-01-28,494.0,490.1142648846474,490.1142648846474,history
2026-01-29,480.0,486.5383474698559,486.5383474698559,history
2026-01-30,545.0,493.7723793759833,493.7723793759833,history
2026-01-31,207.0,220.24773066485955,220.24773066485955,history
2026-02-01,245.0,225.38743127290957,225.38743127290957,history
2026-02-02,478.0,489.1537036383766,489.1537036383766,history
2026-02-03,472.0,499.3707086820207,499.3707086820207,history
2026-02-04,450.0,490.54682414511694,490.54682414511694,history
2026-02-05,507.0,486.9709060682287,486.9709060682287,history
2026-02-06,495.0,494.20493837024173,494.20493837024173,history
2026-02-07,219.0,220.68028890761434,220.68028890761434,history
2026-02-08,237.0,225.81998968803265,225.81998968803265,history
2026-02-09,458.0,489.58626192784476,489.58626192784476,history
2026-02-10,483.0,499.8032666670199,499.8032666670199,history
2026-02-11,504.0,490.97938228758335,490.97938228758335,history
2026-02-12,485.0,487.40346500891224,487.40346500891224,history
2026-02-13,467.0,494.637496976654,494.637496976654,history
2026-02-14,241.0,221.11284709034845,221.11284709034845,history
2026-02-15,219.0,226.25254819214672,226.25254819214672,history
2026-02-16,462.0,490.01882015729234,490.01882015729234,history
2026-02-17,556.0,500.2358249496266,500.2358249496266,history
2026-02-18,504.0,491.41194165152916,491.41194165152916,history
2026-02-19,474.0,487.8360243664124,487.8360243664124,history
2026-02-20,516.0,495.0700561637959,495.0700561637959,history
2026-02-21,235.0,221.54540700120162,221.54540700120162,history
2026-02-22,231.0,226.68510800714728,226.68510800714728,history
2026-02-23,465.0,490.4513801446612,490.4513801446612,history
2026-02-24,491.0,500.6683849752533,500.6683849752533,history
2026-02-25,481.0,491.8445007021347,491.8445007021347,history
2026-02-26,483.0,488.2685830678456,488.2685830678456,history
2026-02-27,459.0,495.5026149928939,495.5026149928939,history
2026-02-28,220.0,221.9779649744878,221.9779649744878,history
2026-03-01,236.0,227.1176657504704,227.1176657504704,history
2026-03-02,504.0,490.88393795604446,490.88393795604446,history
2026-03-03,497.0,501.10094336133614,501.10094336133614,history
2026-03-04,462.0,492.27705917117896,492.27705917117896,history
2026-03-05,498.0,488.7011412473222,488.7011412473222,history
2026-03-06,502.0,495.9351733894422,495.9351733894422,history
2026-03-07,228.0,222.4105240053404,222.4105240053404,history
2026-03-08,207.0,227.55022489408663,227.55022489408663,history
2026-03-09,515.0,491.3164966610814,491.3164966610814,history
2026-03-10,491.0,501.5335022238402,501.5335022238402,history
2026-03-11,507.0,492.7096179378304,492.7096179378304,history
2026-03-12,491.0,489.13370067808023,489.13370067808023,history
2026-03-13,505.0,496.3677327094465,496.3677327094465,history
2026-03-14,252.0,222.8430833636026,222.8430833636026,history
2026-03-15,196.0,227.98278460353112,227.98278460353112,history
2026-03-16,489.0,491.74905620016744,491.74905620016744,history
2026-03-17,488.0,501.9660613690505,501.9660613690505,history
2026-03-18,496.0,493.1421770318916,493.1421770318916,history
2026-03-19,458.0,489.56625960178303,489.56625960178303,history
2026-03-20,504.0,496.8002911349654,496.8002911349654,history
2026-03-21,206.0,223.2756417677747,223.2756417677747,history
2026-03-22,248.0,228.41534231580414,228.41534231580414,history
2026-03-23,510.0,492.18161468085526,492.18161468085526,history
2026-03-24,517.0,502.398620156217,502.398620156217,history
2026-03-25,506.0,493.5747362447462,493.5747362447462,history
2026-03-26,464.0,489.99881895720364,489.99881895720364,history
2026-03-27,510.0,497.23285057334726,497.23285057334726,history
2026-03-28,219.0,223.70820128911788,223.70820128911788,history
2026-03-29,213.0,228.84790202441678,228.84790202441678,history
2026-03-30,510.0,492.6141738614816,492.6141738614816,history
2026-03-31,559.0,502.83117933039773,502.83117933039773,history
2026-04-01,503.0,494.00729603833,494.00729603833,history
2026-04-02,519.0,490.43137869963834,490.43137869963834,history
2026-04-03,476.0,497.66541112890025,497.66541112890025,history
