interaction_id,interaction_datetime,date_key,queue,channel,agent_id,wait_seconds,handle_seconds,acw_seconds,abandoned,answered,answered_within_threshold,disposition
1,2026-01-25 07:53:25,20260125,Crisis,Phone,1010,7.4,540.7,45.1,0,1,1,Resolved
2,2026-01-25 07:27:27,20260125,GeneralSupp,Phone,1022,7.5,316.1,39.7,0,1,1,Resolved
3,2026-01-25 07:01:00,20260125,GeneralChat,Chat,,3.7,0.0,0.0,1,0,0,Abandoned
4,2026-01-25 07:01:12,20260125,Intake,Phone,1020,5.3,313.7,88.6,0,1,1,Resolved
5,2026-01-25 07:25:59,20260125,GeneralSupp,Phone,1038,3.4,168.2,88.1,0,1,1,Resolved
6,2026-01-25 08:40:00,20260125,GeneralSupp,Phone,1037,7.5,209.8,55.0,0,1,1,Resolved
7,2026-01-25 08:38:55,20260125,Crisis,Phone,1005,10.7,1009.9,17.6,0,1,1,Escalated
8,2026-01-25 08:17:57,20260125,Crisis,Phone,,35.8,0.0,0.0,1,0,0,Abandoned
9,2026-01-25 08:58:04,20260125,GeneralChat,Chat,1035,9.4,158.5,66.3,0,1,1,Resolved
10,2026-01-25 08:35:34,20260125,Intake,Phone,1007,101.1,194.7,30.6,0,1,0,Resolved
11,2026-01-25 08:03:27,20260125,GeneralChat,Chat,1029,17.7,290.6,21.4,0,1,1,Resolved
12,2026-01-25 08:24:27,20260125,Crisis,Phone,1036,12.9,436.9,76.1,0,1,1,Resolved
13,2026-01-25 09:31:27,20260125,Intake,Phone,1024,14.1,364.8,36.3,0,1,1,Resolved
14,2026-01-25 09:00:42,20260125,Crisis,Phone,1040,9.1,540.7,84.8,0,1,1,Resolved
15,2026-01-25 09:19:30,20260125,Intake,Phone,1008,5.7,297.3,68.7,0,1,1,FollowUp
16,2026-01-25 09:14:52,20260125,GeneralChat,Chat,1007,17.1,737.2,20.0,0,1,1,Resolved
17,2026-01-25 09:40:51,20260125,GeneralChat,Chat,1025,25.2,356.6,60.8,0,1,0,Escalated
18,2026-01-25 09:54:50,20260125,GeneralChat,Chat,1038,24.9,412.1,50.5,0,1,0,Resolved
19,2026-01-25 09:08:47,20260125,Intake,Phone,1033,7.9,493.4,77.2,0,1,1,Resolved
20,2026-01-25 09:47:50,20260125,GeneralSupp,Phone,1019,3.9,176.9,59.2,0,1,1,Resolved
21,2026-01-25 09:39:21,20260125,Intake,Phone,1010,32.2,272.1,81.7,0,1,0,Escalated
22,2026-01-25 09:58:11,20260125,GeneralChat,Chat,1018,17.9,617.4,21.9,0,1,1,Resolved
23,2026-01-25 09:54:41,20260125,GeneralSupp,Phone,1028,10.8,116.9,57.8,0,1,1,Resolved
24,2026-01-25 09:06:02,20260125,Intake,Phone,1017,15.1,216.0,43.3,0,1,1,Escalated
25,2026-01-25 09:44:35,20260125,Intake,Phone,1006,7.9,153.3,88.9,0,1,1,Escalated
26,2026-01-25 10:11:52,20260125,GeneralSupp,Phone,1008,78.0,246.6,87.3,0,1,0,Escalated
27,2026-01-25 10:09:05,20260125,Intake,Phone,1022,5.2,246.0,60.8,0,1,1,Resolved
28,2026-01-25 10:50:37,20260125,Intake,Phone,1029,12.6,750.4,64.4,0,1,1,Escalated
29,2026-01-25 10:12:56,20260125,GeneralSupp,Phone,1033,30.4,203.0,56.0,0,1,0,FollowUp
30,2026-01-25 10:30:15,20260125,Crisis,Phone,1031,3.6,1065.3,18.6,0,1,1,Resolved
31,2026-01-25 10:16:11,20260125,GeneralChat,Chat,1013,15.4,222.7,87.0,0,1,1,Escalated
32,2026-01-25 10:13:49,20260125,GeneralSupp,Phone,1016,14.2,170.6,63.5,0,1,1,Resolved
33,2026-01-25 10:35:52,20260125,Crisis,Phone,1001,16.8,523.5,64.2,0,1,1,Resolved
34,2026-01-25 10:48:08,20260125,GeneralSupp,Phone,1038,14.0,199.2,35.3,0,1,1,Resolved
35,2026-01-25 10:26:30,20260125,GeneralChat,Chat,1027,22.0,740.8,29.3,0,1,0,Resolved
36,2026-01-25 10:08:19,20260125,Crisis,Phone,1007,8.1,528.0,85.8,0,1,1,Resolved
