date,forecast_calls,busy_hour_calls,aht_seconds,agents_required,modeled_occupancy,target_service_level
2026-01-25,225.0,25.7,300.0,4,0.536,0.8
2026-01-26,488.7,55.9,300.0,8,0.582,0.8
2026-01-27,498.9,57.0,300.0,8,0.594,0.8
2026-01-28,490.1,56.0,300.0,8,0.583,0.8
2026-01-29,486.5,55.6,300.0,8,0.579,0.8
2026-01-30,493.8,56.4,300.0,8,0.588,0.8
2026-01-31,220.2,25.2,300.0,4,0.524,0.8
2026-02-01,225.4,25.8,300.0,4,0.537,0.8
2026-02-02,489.2,55.9,300.0,8,0.582,0.8
2026-02-03,499.4,57.1,300.0,8,0.594,0.8
2026-02-04,490.5,56.1,300.0,8,0.584,0.8
2026-02-05,487.0,55.7,300.0,8,0.58,0.8
2026-02-06,494.2,56.5,300.0,8,0.588,0.8
2026-02-07,220.7,25.2,300.0,4,0.525,0.8
2026-02-08,225.8,25.8,300.0,4,0.538,0.8
2026-02-09,489.6,56.0,300.0,8,0.583,0.8
2026-02-10,499.8,57.1,300.0,8,0.595,0.8
2026-02-11,491.0,56.1,300.0,8,0.584,0.8
2026-02-12,487.4,55.7,300.0,8,0.58,0.8
2026-02-13,494.6,56.5,300.0,8,0.589,0.8
2026-02-14,221.1,25.3,300.0,4,0.526,0.8
2026-02-15,226.3,25.9,300.0,4,0.539,0.8
2026-02-16,490.0,56.0,300.0,8,0.583,0.8
2026-02-17,500.2,57.2,300.0,8,0.596,0.8
2026-02-18,491.4,56.2,300.0,8,0.585,0.8
2026-02-19,487.8,55.8,300.0,8,0.581,0.8
2026-02-20,495.1,56.6,300.0,8,0.589,0.8
2026-02-21,221.5,25.3,300.0,4,0.527,0.8
2026-02-22,226.7,25.9,300.0,4,0.54,0.8
2026-02-23,490.5,56.1,300.0,8,0.584,0.8
2026-02-24,500.7,57.2,300.0,8,0.596,0.8
2026-02-25,491.8,56.2,300.0,8,0.586,0.8
2026-02-26,488.3,55.8,300.0,8,0.581,0.8
2026-02-27,495.5,56.6,300.0,8,0.59,0.8
2026-02-28,222.0,25.4,300.0,4,0.529,0.8
2026-03-01,227.1,26.0,300.0,4,0.541,0.8
2026-03-02,490.9,56.1,300.0,8,0.584,0.8
2026-03-03,501.1,57.3,300.0,8,0.597,0.8
2026-03-04,492.3,56.3,300.0,8,0.586,0.8
2026-03-05,488.7,55.9,300.0,8,0.582,0.8
2026-03-06,495.9,56.7,300.0,8,0.59,0.8
2026-03-07,222.4,25.4,300.0,4,0.53,0.8
2026-03-08,227.6,26.0,300.0,4,0.542,0.8
2026-03-09,491.3,56.2,300.0,8,0.585,0.8
2026-03-10,501.5,57.3,300.0,8,0.597,0.8
2026-03-11,492.7,56.3,300.0,8,0.587,0.8
2026-03-12,489.1,55.9,300.0,8,0.582,0.8
2026-03-13,496.4,56.7,300.0,8,0.591,0.8
2026-03-14,222.8,25.5,300.0,4,0.531,0.8
2026-03-15,228.0,26.1,300.0,4,0.543,0.8
2026-03-16,491.7,56.2,300.0,8,0.585,0.8
2026-03-17,502.0,57.4,300.0,8,0.598,0.8
2026-03-18,493.1,56.4,300.0,8,0.587,0.8
2026-03-19,489.6,56.0,300.0,8,0.583,0.8
2026-03-20,496.8,56.8,300.0,8,0.591,0.8
2026-03-21,223.3,25.5,300.0,4,0.532,0.8
2026-03-22,228.4,26.1,300.0,4,0.544,0.8
2026-03-23,492.2,56.2,300.0,8,0.586,0.8
2026-03-24,502.4,57.4,300.0,8,0.598,0.8
2026-03-25,493.6,56.4,300.0,8,0.588,0.8
2026-03-26,490.0,56.0,300.0,8,0.583,0.8
2026-03-27,497.2,56.8,300.0,8,0.592,0.8
2026-03-28,223.7,25.6,300.0,4,0.533,0.8
2026-03-29,228.8,26.2,300.0,4,0.545,0.8
2026-03-30,492.6,56.3,300.0,8,0.586,0.8
2026-03-31,502.8,57.5,300.0,8,0.599,0.8
2026-04-01,494.0,56.5,300.0,8,0.588,0.8
2026-04-02,490.4,56.0,300.0,8,0.584,0.8
2026-04-03,497.7,56.9,300.0,8,0.592,0.8
2026-04-04,224.1,25.6,300.0,4,0.534,0.8
2026-04-05,229.3,26.2,300.0,4,0.546,0.8
2026-04-06,493.0,56.3,300.0,8,0.587,0.8
2026-04-07,503.3,57.5,300.0,8,0.599,0.8
2026-04-08,494.4,56.5,300.0,8,0.589,0.8
2026-04-09,490.9,56.1,300.0,8,0.584,0.8
2026-04-10,498.1,56.9,300.0,8,0.593,0.8
2026-04-11,224.6,25.7,300.0,4,0.535,0.8
2026-04-12,229.7,26.3,300.0,4,0.547,0.8
2026-04-13,493.5,56.4,300.0,8,0.587,0.8
2026-04-14,503.7,57.6,300.0,8,0.6,0.8
2026-04-15,494.9,56.6,300.0,8,0.589,0.8
2026-04-16,491.3,56.1,300.0,8,0.585,0.8
2026-04-17,498.5,57.0,300.0,8,0.593,0.8
2026-04-18,225.0,25.7,300.0,4,0.536,0.8
2026-04-19,230.1,26.3,300.0,4,0.548,0.8
2026-04-20,493.9,56.4,300.0,8,0.588,0.8
2026-04-21,504.1,57.6,300.0,8,0.6,0.8
2026-04-22,495.3,56.6,300.0,8,0.59,0.8
2026-04-23,491.7,56.2,300.0,8,0.585,0.8
2026-04-24,499.0,57.0,300.0,8,0.594,0.8
2026-04-25,225.4,25.8,300.0,4,0.537,0.8
2026-04-26,230.6,26.4,300.0,5,0.439,0.8
2026-04-27,494.3,56.5,300.0,8,0.589,0.8
2026-04-28,504.6,57.7,300.0,8,0.601,0.8
2026-04-29,495.7,56.7,300.0,8,0.59,0.8
2026-04-30,492.2,56.2,300.0,8,0.586,0.8
2026-05-01,499.4,57.1,300.0,8,0.595,0.8
2026-05-02,225.9,25.8,300.0,4,0.538,0.8
2026-05-03,231.0,26.4,300.0,5,0.44,0.8
2026-05-04,494.8,56.5,300.0,8,0.589,0.8
2026-05-05,505.0,57.7,300.0,8,0.601,0.8
2026-05-06,496.2,56.7,300.0,8,0.591,0.8
2026-05-07,492.6,56.3,300.0,8,0.586,0.8
2026-05-08,499.8,57.1,300.0,8,0.595,0.8
2026-05-09,226.3,25.9,300.0,4,0.539,0.8
2026-05-10,231.4,26.5,300.0,5,0.441,0.8
2026-05-11,495.2,56.6,300.0,8,0.59,0.8
2026-05-12,505.4,57.8,300.0,8,0.602,0.8
2026-05-13,496.6,56.8,300.0,8,0.591,0.8
2026-05-14,493.0,56.3,300.0,8,0.587,0.8
2026-05-15,500.3,57.2,300.0,8,0.596,0.8
2026-05-16,226.7,25.9,300.0,4,0.54,0.8
2026-05-17,231.9,26.5,300.0,5,0.442,0.8
2026-05-18,495.6,56.6,300.0,8,0.59,0.8
2026-05-19,505.9,57.8,300.0,8,0.602,0.8
2026-05-20,497.0,56.8,300.0,8,0.592,0.8
2026-05-21,493.5,56.4,300.0,8,0.587,0.8
2026-05-22,500.7,57.2,300.0,8,0.596,0.8
2026-05-23,227.2,26.0,300.0,4,0.541,0.8
2026-05-24,232.3,26.5,300.0,5,0.442,0.8
2026-05-25,496.1,56.7,300.0,8,0.591,0.8
2026-05-26,506.3,57.9,300.0,8,0.603,0.8
2026-05-27,497.5,56.9,300.0,8,0.592,0.8
2026-05-28,493.9,56.4,300.0,8,0.588,0.8
2026-05-29,501.1,57.3,300.0,8,0.597,0.8
2026-05-30,227.6,26.0,300.0,4,0.542,0.8
2026-05-31,232.7,26.6,300.0,5,0.443,0.8
2026-06-01,496.5,56.7,300.0,8,0.591,0.8
2026-06-02,506.7,57.9,300.0,8,0.603,0.8
2026-06-03,497.9,56.9,300.0,8,0.593,0.8
2026-06-04,494.3,56.5,300.0,8,0.588,0.8
2026-06-05,501.6,57.3,300.0,8,0.597,0.8
2026-06-06,228.0,26.1,300.0,4,0.543,0.8
2026-06-07,233.2,26.6,300.0,5,0.444,0.8
2026-06-08,496.9,56.8,300.0,8,0.592,0.8
2026-06-09,507.2,58.0,300.0,8,0.604,0.8
2026-06-10,498.3,57.0,300.0,8,0.593,0.8
2026-06-11,494.8,56.5,300.0,8,0.589,0.8
2026-06-12,502.0,57.4,300.0,8,0.598,0.8
2026-06-13,228.5,26.1,300.0,4,0.544,0.8
2026-06-14,233.6,26.7,300.0,5,0.445,0.8
